"source","name","destination","target_exists"
"H:\내 드라이브\5.기타\보관\형1_안경옥_2010_기말고사_모범답안.pdf","형1_안경옥_2010_기말고사_모범답안.pdf","H:\내 드라이브\2.형사\91.보관\안경옥_형법\기출\형1_안경옥_2010_기말고사_모범답안.pdf","False"
"H:\내 드라이브\5.기타\보관\형1_안경옥_2011_기말고사_모범답안.pdf","형1_안경옥_2011_기말고사_모범답안.pdf","H:\내 드라이브\2.형사\91.보관\안경옥_형법\기출\형1_안경옥_2011_기말고사_모범답안.pdf","False"
"H:\내 드라이브\5.기타\보관\형1_안경옥_2019_기말고사_모범답안.pdf","형1_안경옥_2019_기말고사_모범답안.pdf","H:\내 드라이브\2.형사\91.보관\안경옥_형법\기출\형1_안경옥_2019_기말고사_모범답안.pdf","False"
"H:\내 드라이브\5.기타\보관\형2_안경옥_2020_기말고사_문제_및_해설.pdf","형2_안경옥_2020_기말고사_문제_및_해설.pdf","H:\내 드라이브\2.형사\91.보관\안경옥_형법\기출\형2_안경옥_2020_기말고사_문제_및_해설.pdf","False"
"H:\내 드라이브\5.기타\보관\형2_안경옥_2022_기말고사_문제_및_해설.pdf","형2_안경옥_2022_기말고사_문제_및_해설.pdf","H:\내 드라이브\2.형사\91.보관\안경옥_형법\기출\형2_안경옥_2022_기말고사_문제_및_해설.pdf","False"
"H:\내 드라이브\5.기타\보관\형2_안경옥_2023_기말고사_문제_및_해설.pdf","형2_안경옥_2023_기말고사_문제_및_해설.pdf","H:\내 드라이브\2.형사\91.보관\안경옥_형법\기출\형2_안경옥_2023_기말고사_문제_및_해설.pdf","False"
"H:\내 드라이브\5.기타\보관\회사법_정완용_2022_중간고사_대체과제.pdf","회사법_정완용_2022_중간고사_대체과제.pdf","H:\내 드라이브\4.선택법\91.보관\정완용_회사법의_기초이론\기출\회사법_정완용_2022_중간고사_대체과제.pdf","False"
"H:\내 드라이브\5.기타\보관\회사법_정완용_2022_중간고사_대체과제_1.pdf","회사법_정완용_2022_중간고사_대체과제_1.pdf","H:\내 드라이브\4.선택법\91.보관\정완용_회사법의_기초이론\기출\회사법_정완용_2022_중간고사_대체과제_1.pdf","False"
"H:\내 드라이브\5.기타\보관\회사법_황남석_2013_중간고사_문제.pdf","회사법_황남석_2013_중간고사_문제.pdf","H:\내 드라이브\4.선택법\91.보관\황남석_회사법의_기초이론\기출\회사법_황남석_2013_중간고사_문제.pdf","False"
"H:\내 드라이브\5.기타\보관\회사법_황남석_2013_중간고사_문제_1.pdf","회사법_황남석_2013_중간고사_문제_1.pdf","H:\내 드라이브\4.선택법\91.보관\황남석_회사법의_기초이론\기출\회사법_황남석_2013_중간고사_문제_1.pdf","False"
"H:\내 드라이브\5.기타\보관\회사법_황남석_2020_기말고사_문제.pdf","회사법_황남석_2020_기말고사_문제.pdf","H:\내 드라이브\4.선택법\91.보관\황남석_회사법의_기초이론\기출\회사법_황남석_2020_기말고사_문제.pdf","False"
"H:\내 드라이브\5.기타\보관\회사법_황남석_2020_기말고사_문제_1.pdf","회사법_황남석_2020_기말고사_문제_1.pdf","H:\내 드라이브\4.선택법\91.보관\황남석_회사법의_기초이론\기출\회사법_황남석_2020_기말고사_문제_1.pdf","False"
"H:\내 드라이브\5.기타\보관\회사법_황남석_2020_중간고사_과제.pdf","회사법_황남석_2020_중간고사_과제.pdf","H:\내 드라이브\4.선택법\91.보관\황남석_회사법의_기초이론\기출\회사법_황남석_2020_중간고사_과제.pdf","False"
"H:\내 드라이브\5.기타\보관\회사법_황남석_2020_중간고사_과제_1.pdf","회사법_황남석_2020_중간고사_과제_1.pdf","H:\내 드라이브\4.선택법\91.보관\황남석_회사법의_기초이론\기출\회사법_황남석_2020_중간고사_과제_1.pdf","False"
"H:\내 드라이브\5.기타\보관\회사법_황남석_2024_중간고사_문제.pdf","회사법_황남석_2024_중간고사_문제.pdf","H:\내 드라이브\4.선택법\91.보관\황남석_회사법의_기초이론\기출\회사법_황남석_2024_중간고사_문제.pdf","False"
"H:\내 드라이브\5.기타\보관\회사법_황남석_2024_중간고사_문제_1.pdf","회사법_황남석_2024_중간고사_문제_1.pdf","H:\내 드라이브\4.선택법\91.보관\황남석_회사법의_기초이론\기출\회사법_황남석_2024_중간고사_문제_1.pdf","False"
"H:\내 드라이브\5.기타\보관\회사법_황남석_2025_기말고사_해설.pdf","회사법_황남석_2025_기말고사_해설.pdf","H:\내 드라이브\4.선택법\91.보관\황남석_회사법의_기초이론\기출\회사법_황남석_2025_기말고사_해설.pdf","False"
