"Action","Label","Src","Dest"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p331-360.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p331-360.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p361-390.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p361-390.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p391-420.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p391-420.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p421-450.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p421-450.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p451-480.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p451-480.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p481-510.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p481-510.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p511-540.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p511-540.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p541-570.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p541-570.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p571-600.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p571-600.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p601-630.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p601-630.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p631-660.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p631-660.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p661-690.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p661-690.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p691-720.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p691-720.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p721-750.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p721-750.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p751-780.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p751-780.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p781-810.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p781-810.md"
