"source_hwp_path","target_pdf_path","trashed_zero_pdf_path","register_result","open_result","save_result","output_exists","output_bytes","output_pages","status","error"
"H:\내 드라이브\_원본보관\hwp_전체\형사_변호사시험_기출_학교시험__2024학년도_동계_1학년_진급시험_재시험_3교시_형법_답안_및_해설.hwp","H:\내 드라이브\2.형사\기출\형사_변호사시험_기출_학교시험__2024학년도_동계_1학년_진급시험_재시험_3교시_형법_답안_및_해설.pdf","H:\내 드라이브\5.기타\\_trash\\2026-03-20\\깨진_pdf\\2.형사_기출\형사_변호사시험_기출_학교시험__2024학년도_동계_1학년_진급시험_재시험_3교시_형법_답안_및_해설.pdf","True","True","True","True","124870","4","OK",""
"H:\내 드라이브\_원본보관\hwp_전체\형사_변호사시험_기출_학교시험__2024학년도_동계_2학년_진급시험_재시험_2교시_형사법_답안_및_해설.hwp","H:\내 드라이브\2.형사\기출\형사_변호사시험_기출_학교시험__2024학년도_동계_2학년_진급시험_재시험_2교시_형사법_답안_및_해설.pdf","H:\내 드라이브\5.기타\\_trash\\2026-03-20\\깨진_pdf\\2.형사_기출\형사_변호사시험_기출_학교시험__2024학년도_동계_2학년_진급시험_재시험_2교시_형사법_답안_및_해설.pdf","True","True","True","True","109229","4","OK",""
"H:\내 드라이브\_원본보관\hwp_전체\형사_보관_내신_서보학_기타__형법의_기초이론_1_서보학_중간고사_템플릿.hwp","H:\내 드라이브\2.형사\진행중\서보학_형법1\형사_보관_내신_서보학_기타__형법의_기초이론_1_서보학_중간고사_템플릿.pdf","H:\내 드라이브\5.기타\\_trash\\2026-03-20\\깨진_pdf\\2.형사_진행중_서보학_형법1\형사_보관_내신_서보학_기타__형법의_기초이론_1_서보학_중간고사_템플릿.pdf","True","True","True","True","157779","16","OK",""
"H:\내 드라이브\_원본보관\hwp_전체\민사_보관_회사법_기출__회사법_황남석_2023_중간고사_문제.hwp","H:\내 드라이브\1.민사\보관\민사_보관_회사법_기출__회사법_황남석_2023_중간고사_문제.pdf","H:\내 드라이브\5.기타\\_trash\\2026-03-20\\깨진_pdf\\1.민사_보관\민사_보관_회사법_기출__회사법_황남석_2023_중간고사_문제.pdf","True","True","True","True","51433","2","OK",""
"H:\내 드라이브\_원본보관\hwp_전체\민사_보관__hwp_임시__민법의_기초이론_2_전경운_기말_모의답안_2016_김혜선.hwp","H:\내 드라이브\1.민사\보관\민사_보관__hwp_임시__민법의_기초이론_2_전경운_기말_모의답안_2016_김혜선.pdf","H:\내 드라이브\5.기타\\_trash\\2026-03-20\\깨진_pdf\\1.민사_보관\민사_보관__hwp_임시__민법의_기초이론_2_전경운_기말_모의답안_2016_김혜선.pdf","True","True","True","True","117457","9","OK",""
"H:\내 드라이브\_원본보관\hwp_전체\민사_보관__hwp_임시__민법의_기초이론_2_전경운_기말_모의답안_2018_김혜선.hwp","H:\내 드라이브\1.민사\보관\민사_보관__hwp_임시__민법의_기초이론_2_전경운_기말_모의답안_2018_김혜선.pdf","H:\내 드라이브\5.기타\\_trash\\2026-03-20\\깨진_pdf\\1.민사_보관\민사_보관__hwp_임시__민법의_기초이론_2_전경운_기말_모의답안_2018_김혜선.pdf","True","True","True","True","130958","10","OK",""
"H:\내 드라이브\_원본보관\hwp_전체\공법_보관_행정법_기출__행정법의_기초이론_주동진_2025_기말고사_해설.hwp","H:\내 드라이브\3.공법\보관\공법_보관_행정법_기출__행정법의_기초이론_주동진_2025_기말고사_해설.pdf","H:\내 드라이브\5.기타\\_trash\\2026-03-20\\깨진_pdf\\3.공법_보관\공법_보관_행정법_기출__행정법의_기초이론_주동진_2025_기말고사_해설.pdf","True","True","True","True","21369","1","OK",""
