pdf_path,relative_path,top_category,second_category,bytes,last_write_time,full_pypdf_status,full_pypdf_pages,full_pypdf_error,full_pypdf_elapsed_ms,current_exists,review_status,fitz_ok,fitz_pages,fitz_error,review_note
H:\내 드라이브\1.민사\기출\민사_전경문_민법3_기출__민2_전경운_2025_쟁점별_기출정리본_4개년_변시변모포함_final_장서영_1.pdf,1.민사\기출\민사_전경문_민법3_기출__민2_전경운_2025_쟁점별_기출정리본_4개년_변시변모포함_final_장서영_1.pdf,1.민사,기출,696448,2026-03-10T19:00:44,OK,76,,12766,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_13.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_13.pdf,1.민사,기출,676828,2023-03-27T00:25:32,OK,39,,127,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_14.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_14.pdf,1.민사,기출,516721,2023-04-05T18:37:26,OK,34,,211,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_15.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_15.pdf,1.민사,기출,1056814,2023-04-05T19:07:56,OK,48,,193,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_16.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_16.pdf,1.민사,기출,941782,2023-03-30T00:06:04,OK,36,,184,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_17.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_17.pdf,1.민사,기출,728644,2023-04-06T00:31:02,OK,33,,139,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_18.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_18.pdf,1.민사,기출,678481,2023-04-06T00:59:00,OK,39,,96,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_19.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_19.pdf,1.민사,기출,792354,2023-04-06T17:42:22,OK,48,,4360,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_20.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_20.pdf,1.민사,기출,836277,2023-03-27T23:58:00,OK,35,,249,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_21.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_21.pdf,1.민사,기출,881708,2023-04-06T22:00:50,OK,41,,135,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_22.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_문제_22.pdf,1.민사,기출,757778,2023-04-06T22:51:10,OK,43,,213,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_13.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_13.pdf,1.민사,기출,420482,2023-03-27T00:25:52,OK,11,,10009,True,OK,,,,
