"label","src","dest","note"
"trash_empty_shell_dir","H:\내 드라이브\2.형사\김기용_형법1\기출","H:\내 드라이브\5.기타\_trash\2026-03-20\빈폴더_기출정리강의자료\2.형사_김기용_형법1_기출",""
"trash_empty_shell_dir","H:\내 드라이브\2.형사\진행중\홍형철_기본형법\정리","H:\내 드라이브\5.기타\_trash\2026-03-20\빈폴더_기출정리강의자료\2.형사_진행중_홍형철_기본형법_정리",""
"trash_empty_shell_dir","H:\내 드라이브\3.공법\보관\주동진_행정법\정리","H:\내 드라이브\5.기타\_trash\2026-03-20\빈폴더_기출정리강의자료\3.공법_보관_주동진_행정법_정리",""
"trash_empty_shell_dir","H:\내 드라이브\3.공법\진행중\강성민_행정법\기출","H:\내 드라이브\5.기타\_trash\2026-03-20\빈폴더_기출정리강의자료\3.공법_진행중_강성민_행정법_기출",""
"trash_empty_shell_dir","H:\내 드라이브\4.선택법\기출","H:\내 드라이브\5.기타\_trash\2026-03-20\빈폴더_기출정리강의자료\4.선택법_기출",""
